Rank,Title,Year,Director,Cast,Rating,Poster
226,The Exorcist,1973,William Friedkin,"Ellen Burstyn,  Max von Sydow",8.0,\Posters\The Exorcist
227,The Incredibles,2004,Brad Bird,"Craig T. Nelson,  Samuel L. Jackson",8.0,\Posters\The Incredibles
228,To Be or Not to Be,1942,Ernst Lubitsch,"Carole Lombard,  Jack Benny",8.0,\Posters\To Be or Not to Be
229,La battaglia di Algeri,1966,Gillo Pontecorvo,"Brahim Hadjadj,  Jean Martin",8.0,\Posters\La battaglia di Algeri
230,La haine,1995,Mathieu Kassovitz,"Vincent Cassel,  Hubert Koundé",8.0,\Posters\La haine
231,Hachi: A Dog's Tale,2009,Lasse Hallström,"Richard Gere,  Joan Allen",8.0,\Posters\Hachi: A Dog's Tale
232,Pirates of the Caribbean: The Curse of the Black Pearl,2003,Gore Verbinski,"Johnny Depp,  Geoffrey Rush",8.0,\Posters\Pirates of the Caribbean: The Curse of the Black Pearl
233,Babam ve Oglum,2005,Çagan Irmak,"Çetin Tekindor,  Fikret Kuskan",8.0,\Posters\Babam ve Oglum
234,Jai Bhim,2021,T.J. Gnanavel,"Suriya,  Lijo Mol Jose",8.0,\Posters\Jai Bhim
235,The Grapes of Wrath,1940,John Ford,"Henry Fonda,  Jane Darwell",8.0,\Posters\The Grapes of Wrath
236,Amores perros,2000,Alejandro G. Iñárritu,"Emilio Echevarría,  Gael García Bernal",8.0,\Posters\Amores perros
237,Rebecca,1940,Alfred Hitchcock,"Laurence Olivier,  Joan Fontaine",8.0,\Posters\Rebecca
238,Cool Hand Luke,1967,Stuart Rosenberg,"Paul Newman,  George Kennedy",8.0,\Posters\Cool Hand Luke
239,Ah-ga-ssi,2016,Park Chan-wook,"Kim Min-hee,  Ha Jung-woo",8.0,\Posters\Ah-ga-ssi
240,Les quatre cents coups,1959,François Truffaut,"Jean-Pierre Léaud,  Albert Rémy",8.0,\Posters\Les quatre cents coups
241,The Sound of Music,1965,Robert Wise,"Julie Andrews,  Christopher Plummer",8.0,\Posters\The Sound of Music
242,It Happened One Night,1934,Frank Capra,"Clark Gable,  Claudette Colbert",8.0,\Posters\It Happened One Night
243,Persona,1966,Ingmar Bergman,"Bibi Andersson,  Liv Ullmann",8.0,\Posters\Persona
244,Life of Brian,1979,Terry Jones,"Graham Chapman,  John Cleese",8.0,\Posters\Life of Brian
245,The Iron Giant,1999,Brad Bird,"Eli Marienthal,  Harry Connick Jr.",8.0,\Posters\The Iron Giant
246,Dersu Uzala,1975,Akira Kurosawa,"Maksim Munzuk,  Yuriy Solomin",8.0,\Posters\Dersu Uzala
247,The Help,2011,Tate Taylor,"Viola Davis,  Emma Stone",8.0,\Posters\The Help
248,Aladdin,1992,Ron Clements,"Scott Weinger,  Robin Williams",8.0,\Posters\Aladdin
249,Gandhi,1982,Richard Attenborough,"Ben Kingsley,  John Gielgud",8.0,\Posters\Gandhi
250,Dances with Wolves,1990,Kevin Costner,"Kevin Costner,  Mary McDonnell",8.0,\Posters\Dances with Wolves
