Rank,Title,Year,Director,Cast,Rating,Poster
55,Django Unchained,2012,Quentin Tarantino,"Jamie Foxx,  Christoph Waltz",8.4,\Posters\Django Unchained
56,Raiders of the Lost Ark,1981,Steven Spielberg,"Harrison Ford,  Karen Allen",8.4,\Posters\Raiders of the Lost Ark
57,WALL·E,2008,Andrew Stanton,"Ben Burtt,  Elissa Knight",8.4,\Posters\WALL·E
58,The Lives of Others,2006,Florian Henckel von Donnersmarck,"Ulrich Mühe,  Martina Gedeck",8.4,\Posters\The Lives of Others
59,Sunset Blvd.,1950,Billy Wilder,"William Holden,  Gloria Swanson",8.4,\Posters\Sunset Blvd.
60,Paths of Glory,1957,Stanley Kubrick,"Kirk Douglas,  Ralph Meeker",8.4,\Posters\Paths of Glory
61,The Shining,1980,Stanley Kubrick,"Jack Nicholson,  Shelley Duvall",8.4,\Posters\The Shining
62,The Great Dictator,1940,Charles Chaplin,"Charles Chaplin,  Paulette Goddard",8.4,\Posters\The Great Dictator
63,Avengers: Infinity War,2018,Anthony Russo,"Robert Downey Jr.,  Chris Hemsworth",8.4,\Posters\Avengers: Infinity War
64,Witness for the Prosecution,1957,Billy Wilder,"Tyrone Power,  Marlene Dietrich",8.4,\Posters\Witness for the Prosecution
65,Aliens,1986,James Cameron,"Sigourney Weaver,  Michael Biehn",8.3,\Posters\Aliens
66,Spider-Man: Into the Spider-Verse,2018,Bob Persichetti,"Shameik Moore,  Jake Johnson",8.3,\Posters\Spider-Man: Into the Spider-Verse
67,American Beauty,1999,Sam Mendes,"Kevin Spacey,  Annette Bening",8.3,\Posters\American Beauty
68,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Stanley Kubrick,"Peter Sellers,  George C. Scott",8.3,\Posters\Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
69,The Dark Knight Rises,2012,Christopher Nolan,"Christian Bale,  Tom Hardy",8.3,\Posters\The Dark Knight Rises
70,Oldeuboi,2003,Park Chan-wook,"Choi Min-sik,  Yoo Ji-tae",8.3,\Posters\Oldeuboi
71,Inglourious Basterds,2009,Quentin Tarantino,"Brad Pitt,  Diane Kruger",8.3,\Posters\Inglourious Basterds
72,Amadeus,1984,Milos Forman,"F. Murray Abraham,  Tom Hulce",8.3,\Posters\Amadeus
73,Coco,2017,Lee Unkrich,"Anthony Gonzalez,  Gael García Bernal",8.3,\Posters\Coco
74,Joker,2019,Todd Phillips,"Joaquin Phoenix,  Robert De Niro",8.3,\Posters\Joker
75,Toy Story,1995,John Lasseter,"Tom Hanks,  Tim Allen",8.3,\Posters\Toy Story
76,Braveheart,1995,Mel Gibson,"Mel Gibson,  Sophie Marceau",8.3,\Posters\Braveheart
77,Das Boot,1981,Wolfgang Petersen,"Jürgen Prochnow,  Herbert Grönemeyer",8.3,\Posters\Das Boot
78,Avengers: Endgame,2019,Anthony Russo,"Robert Downey Jr.,  Chris Evans",8.3,\Posters\Avengers: Endgame
79,Mononoke-hime,1997,Hayao Miyazaki,"Yôji Matsuda,  Yuriko Ishida",8.3,\Posters\Mononoke-hime
80,Once Upon a Time in America,1984,Sergio Leone,"Robert De Niro,  James Woods",8.3,\Posters\Once Upon a Time in America
81,Good Will Hunting,1997,Gus Van Sant,"Robin Williams,  Matt Damon",8.3,\Posters\Good Will Hunting
82,Kimi no Na wa.,2016,Makoto Shinkai,"Ryûnosuke Kamiki,  Mone Kamishiraishi",8.3,\Posters\Kimi no Na wa.
83,Requiem for a Dream,2000,Darren Aronofsky,"Ellen Burstyn,  Jared Leto",8.3,\Posters\Requiem for a Dream
84,3 Idiots,2009,Rajkumar Hirani,"Aamir Khan,  Madhavan",8.3,\Posters\3 Idiots
85,Singin' in the Rain,1952,Stanley Donen,"Gene Kelly, "" Donald OConnor""",8.3,\Posters\Singin' in the Rain
86,Toy Story 3,2010,Lee Unkrich,"Tom Hanks,  Tim Allen",8.3,\Posters\Toy Story 3
87,Tengoku to jigoku,1963,Akira Kurosawa,"Toshirô Mifune,  Yutaka Sada",8.3,\Posters\Tengoku to jigoku
88,Capharnaüm,2018,Nadine Labaki,"Zain Al Rafeea,  Yordanos Shiferaw",8.3,\Posters\Capharnaüm
89,Star Wars: Episode VI - Return of the Jedi,1983,Richard Marquand,"Mark Hamill,  Harrison Ford",8.3,\Posters\Star Wars: Episode VI - Return of the Jedi
90,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,"Jim Carrey,  Kate Winslet",8.3,\Posters\Eternal Sunshine of the Spotless Mind
91,2001: A Space Odyssey,1968,Stanley Kubrick,"Keir Dullea,  Gary Lockwood",8.3,\Posters\2001: A Space Odyssey
92,Reservoir Dogs,1992,Quentin Tarantino,"Harvey Keitel,  Tim Roth",8.3,\Posters\Reservoir Dogs
93,Jagten,2012,Thomas Vinterberg,"Mads Mikkelsen,  Thomas Bo Larsen",8.3,\Posters\Jagten
94,Idi i smotri,1985,Elem Klimov,"Aleksey Kravchenko,  Olga Mironova",8.3,\Posters\Idi i smotri
95,Top Gun: Maverick,2022,Joseph Kosinski,"Tom Cruise,  Jennifer Connelly",8.3,\Posters\Top Gun: Maverick
96,Citizen Kane,1941,Orson Welles,"Orson Welles,  Joseph Cotten",8.3,\Posters\Citizen Kane
97,Lawrence of Arabia,1962,David Lean,""" Peter OToole"",  Alec Guinness",8.3,\Posters\Lawrence of Arabia
98,M - Eine Stadt sucht einen Mörder,1931,Fritz Lang,"Peter Lorre,  Ellen Widmann",8.3,\Posters\M - Eine Stadt sucht einen Mörder
99,North by Northwest,1959,Alfred Hitchcock,"Cary Grant,  Eva Marie Saint",8.2,\Posters\North by Northwest
100,Vertigo,1958,Alfred Hitchcock,"James Stewart,  Kim Novak",8.2,\Posters\Vertigo
101,Le fabuleux destin d'Amélie Poulain,2001,Jean-Pierre Jeunet,"Audrey Tautou,  Mathieu Kassovitz",8.2,\Posters\Le fabuleux destin d'Amélie Poulain
102,The Apartment,1960,Billy Wilder,"Jack Lemmon,  Shirley MacLaine",8.2,\Posters\The Apartment
103,Ikiru,1952,Akira Kurosawa,"Takashi Shimura,  Nobuo Kaneko",8.2,\Posters\Ikiru
104,A Clockwork Orange,1971,Stanley Kubrick,"Malcolm McDowell,  Patrick Magee",8.2,\Posters\A Clockwork Orange
105,Double Indemnity,1944,Billy Wilder,"Fred MacMurray,  Barbara Stanwyck",8.2,\Posters\Double Indemnity
106,Full Metal Jacket,1987,Stanley Kubrick,"Matthew Modine,  R. Lee Ermey",8.2,\Posters\Full Metal Jacket
